List of importing markets for a product exported by Viet Nam Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
Estonia	1,300	2,092	2,305	2,191	2,425	7,941	5,788	9,234	8,869	6,643	11,412	11,538	
Ethiopia	137	114	275	1,842	6,498	25,863	11,069	6,166	7,090	34,212	11,266	22,466	
Falkland Islands (Malvinas)	135	110	17	0	26	0	0	0	0	0	0	0	
Faroe Islands	32	22	33	98	0	7	0	0	0	0	0	0	
Fiji	640	898	657	1,394	1,162	1,517	1,579	3,846	12,938	14,938	19,706	18,144	
Finland	19,933	24,272	28,792	41,891	57,155	68,875	92,512	134,363	79,500	68,399	87,021	99,720	
France	468,964	439,472	497,229	557,593	656,421	799,006	889,382	970,839	820,070	1,101,330	1,658,884	2,163,399	
French Polynesia	0	26	0	0	241	0	0	0	0	0	0	0	
Gabon	2,887	64	6,166	744	8,368	3,279	4,356	8,896	5,621	7,446	7,246	13,503	
Gambia	751	1,887	845	1,134	5,440	5,032	4,299	14,179	13,313	6,012	7,452	6,601	
Georgia	3,652	4,310	2,912	9,393	4,091	6,696	12,664	23,811	15,180	15,383	12,643	15,107	
Germany	721,797	729,029	854,714	1,064,735	1,085,543	1,445,309	1,854,895	2,073,424	1,885,409	2,372,736	3,366,901	4,094,940	
Ghana	4,667	8,603	15,260	31,760	23,357	38,223	53,243	52,189	77,497	98,603	120,348	203,590	
Gibraltar	6	0	0	111	10	11	0	0	0	0	0	0	
Greece	21,132	34,339	41,960	45,389	54,949	64,649	81,806	103,235	77,698	80,273	132,288	150,576	
Greenland	418	86	59	253	44	201	254	0	0	0	0	0	
Grenada	22	36	12	61	86	103	0	0	0	1,020	0	0	
Guatemala	2,919	4,095	885	1,292	1,282	3,196	2,748	6,445	14,738	13,267	16,186	22,401	
Guinea	506	534	986	9,011	6,564	14,532	8,116	37,403	32,104	47,757	94,446	39,080	
Guinea-Bissau	0	17	7	149	0	131	0	10,434	3,711	0	7,382	4,167	
Guyana	101	134	126	36	156	2,313	304	0	0	3,422	0	0	
Haiti	896	132	39	219	255	1,237	420	0	0	30,613	14,400	11,985	
Honduras	286	1,718	812	2,079	2,190	5,381	1,778	4,366	2,863	6,575	6,725	5,441	
Hong Kong, China	317,238	340,168	368,734	380,056	353,113	452,985	582,523	877,190	1,034,099	1,464,178	2,205,716	3,705,369	
Hungary	17,036	21,206	18,338	21,627	27,041	33,042	62,714	70,370	62,451	38,425	51,338	57,577	
Iceland	5,229	2,183	1,480	4,418	1,927	3,479	4,749	8,589	0	1,699	0	0	
