List of importing markets for a product exported by Hong Kong, China Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	191,067,244	201,927,773	228,708,303	265,605,542	292,118,674	322,668,792	349,385,575	370,241,819	329,421,935	400,692,015	455,573,380	492,907,472	
Afghanistan	3,297	3,217	1,681	1,742	0	0	2,282	3,131	4,035	4,071	12,323	16,498	
Africa not elsewhere specified	801	4,705	1,494	655	481	1,866	2,001	314	501	869	2,042	252	
Albania	255	376	163	1,056	1,284	1,307	2,480	3,777	6,135	3,089	3,533	7,053	
Algeria	10,922	10,174	12,647	8,340	13,105	22,234	25,583	31,918	38,811	22,496	38,669	47,538	
America not elsewhere specified	0	0	5	0	1	0	0	0	0	3	8	3	
Andorra	0	0	1,149	1,324	1,821	1,033	1,250	1,469	646	924	846	504	
Angola	16,767	19,142	21,581	18,466	28,657	32,055	43,353	64,314	54,305	31,433	34,327	61,286	
Area Nes	31,810	29,626	23,168	22,553	20,257	17,320	22,972	31,701	37,784	64,704	53,205	71,765	
Argentina	268,907	29,112	90,733	174,266	245,289	257,763	350,771	346,824	283,825	381,400	499,522	403,380	
Armenia	2,379	2,003	3,914	1,545	1,042	1,399	2,447	9,299	5,941	6,691	9,479	7,697	
Aruba	2,200	2,173	2,262	2,494	2,145	2,480	2,958	3,939	1,785	2,302	4,986	5,205	
Australia	2,257,429	2,417,762	2,802,037	3,264,156	3,483,876	3,992,170	4,441,301	5,051,477	4,652,450	4,900,672	5,344,099	5,202,762	
Austria	437,629	357,602	445,084	583,517	579,636	603,096	707,885	634,325	482,675	582,984	677,197	583,008	
Azerbaijan	223	514	530	2,024	1,936	7,762	6,206	5,043	2,961	10,958	30,104	41,733	
Bahamas	3,014	2,869	1,859	1,804	2,270	5,538	4,331	2,553	1,564	1,346	1,578	5,422	
Bahrain	53,283	47,465	40,527	40,944	37,322	42,769	56,489	64,809	73,457	64,980	60,984	64,585	
Bangladesh	434,999	441,322	457,313	507,725	571,702	702,947	645,240	707,189	621,750	831,122	990,972	1,026,793	
Barbados	2,223	2,530	2,686	2,129	1,808	1,938	2,582	2,599	1,276	1,204	1,393	1,603	
Belarus	2,109	1,388	4,310	4,055	3,768	5,930	12,098	27,282	37,183	70,818	79,821	68,635	
Belgium	1,255,448	1,299,163	1,406,945	1,610,427	1,822,177	1,973,425	1,889,144	2,131,677	1,867,428	2,090,747	2,805,554	2,858,819	
Belize	1,296	1,899	1,421	1,271	733	577	753	1,517	642	568	1,712	1,451	
Benin	17,763	14,991	8,315	5,883	13,209	40,912	43,838	35,296	23,735	11,182	6,184	5,389	
Bermuda	0	0	0	0	36,291	45,606	0	0	0	0	0	0	
Bhutan	151	25	129	20	47	288	412	1,043	839	802	679	1,236	
Bolivia	2,773	2,199	1,641	2,517	2,533	5,200	8,051	11,600	17,411	25,131	20,400	21,405	
Bosnia and Herzegovina	1,185	828	839	1,235	1,411	1,606	1,055	2,087	2,249	4,296	5,722	4,894	
Botswana	2,913	3,178	3,803	3,017	2,393	14,091	25,820	12,830	5,151	10,044	6,945	11,199	
Brazil	627,828	613,679	570,467	833,782	1,003,762	1,174,894	1,330,590	1,647,493	1,179,708	1,663,440	2,061,940	1,977,347	
Brunei Darussalam	51,225	57,726	53,838	56,368	31,931	28,987	29,692	25,461	15,466	10,581	12,984	19,067	
Bulgaria	15,325	19,110	43,559	45,514	37,131	48,274	56,701	67,825	38,371	43,751	47,383	35,065	
Burkina Faso	3,559	7,387	7,944	6,319	5,508	5,904	9,985	16,681	13,172	9,750	17,503	12,880	
Burundi	1,026	1,078	702	333	353	362	304	1,018	2,156	727	2,623	1,356	
Cabo Verde	0	0	550	352	646	133	110	157	58	476	2,513	3,890	
Cambodia	255,920	338,294	373,226	452,061	496,549	556,623	611,909	608,675	470,345	586,851	699,810	810,773	
Cameroon	17,910	25,295	25,018	29,855	33,710	38,256	45,076	54,544	36,384	29,042	32,176	33,199	
Canada	2,931,088	3,015,497	2,936,516	3,139,814	3,375,883	3,495,960	3,436,058	3,529,108	2,909,413	3,074,511	3,181,019	3,111,523	
Central African Republic	390	78	70	42	110	132	2,478	7,593	2,607	1,517	1,677	3,471	
Chad	124	14	87	0	15	672	5,839	1,519	8,050	6,006	7,893	4,769	
Chile	412,022	309,454	276,578	312,879	326,400	395,091	400,226	382,402	294,449	397,554	502,532	599,954	
China	70,346,562	78,949,842	95,446,080	114,315,649	130,425,878	149,510,941	168,603,726	178,621,253	164,285,683	210,291,123	246,581,687	284,360,806	
Colombia	92,321	92,720	84,477	91,413	104,983	139,585	186,892	250,716	154,535	182,826	325,549	329,195	
Comoros	4	518	47	46	87	252	2,145	35	5,869	2,239	1,231	1,011	
Congo	20,337	18,779	12,569	12,529	12,050	12,619	13,275	14,227	20,193	13,337	19,120	13,375	
Costa Rica	35,534	31,647	32,557	26,511	29,919	32,922	35,365	37,352	27,146	42,561	57,574	40,098	
Côte d'Ivoire	16,865	7,702	4,928	3,606	3,706	8,823	12,483	17,258	6,224	7,800	19,455	13,759	
Croatia	19,697	23,171	31,510	35,231	34,727	43,396	52,119	52,710	33,249	35,766	39,620	33,282	
Cuba	9,791	6,071	3,823	6,489	6,858	18,248	4,610	1,972	1,272	2,820	3,976	4,616	
Cyprus	34,254	53,100	31,228	31,313	37,320	35,780	43,425	52,054	38,827	28,059	27,476	22,995	
Czech Republic	120,953	132,806	181,966	274,076	344,713	602,713	582,087	716,207	589,856	634,847	704,674	788,130	
Democratic Republic of the Congo	13,302	15,476	27,867	31,264	23,323	20,854	16,559	13,202	9,950	9,503	23,428	21,301	
Denmark	598,256	590,001	678,384	807,609	1,105,106	920,409	861,762	884,263	665,358	758,342	733,428	664,135	
Djibouti	980	728	1,402	1,861	5,929	3,480	1,571	2,123	3,535	1,298	716	1,155	
Dominican Republic	36,716	43,274	27,502	32,240	38,082	33,954	38,572	93,269	36,531	63,145	83,016	94,925	
Ecuador	37,812	38,348	32,756	35,674	31,597	51,795	53,320	84,072	58,949	66,561	122,553	130,971	
Egypt	173,165	132,248	128,851	131,212	131,515	151,439	174,707	213,397	226,047	351,622	329,075	353,960	
El Salvador	64,340	73,636	77,016	102,892	94,869	77,788	52,700	36,218	25,546	29,800	51,228	59,174	
Equatorial Guinea	205	1,028	1,146	3,257	2,371	2,441	1,576	1,058	1,454	3,410	4,727	6,373	
Estonia	51,272	47,075	60,370	72,782	95,323	145,006	125,298	126,578	65,067	74,284	141,421	139,576	
Ethiopia	785	609	1,193	2,971	3,801	4,466	5,497	10,084	3,448	15,102	26,134	46,798	
Europe Othr. Nes	578	47	15	19	0	61	23	1,250	5	109	189	619	
Fiji	19,622	18,246	23,413	18,859	8,662	11,454	8,409	16,766	9,899	8,573	13,224	12,509	
Finland	364,393	361,647	527,182	907,914	1,240,848	1,257,431	1,212,850	1,248,157	683,413	858,045	964,108	1,259,429	
France	2,984,148	2,629,130	2,830,357	3,413,883	4,074,230	4,293,272	4,559,921	4,840,988	3,702,024	4,514,335	5,107,095	4,797,266	
Gabon	8,347	6,610	5,854	3,695	5,017	5,094	7,778	8,834	11,867	8,886	16,309	13,325	
Gambia	15,489	12,087	12,933	11,931	8,607	6,188	6,088	4,966	8,930	5,390	3,248	1,775	
Georgia	1,560	4,792	3,508	2,350	2,935	5,163	14,047	13,911	15,062	11,908	25,525	31,474	
Germany	6,625,020	6,261,555	7,219,006	8,076,579	9,370,065	9,760,960	10,426,363	12,150,628	10,260,441	10,419,447	11,620,593	10,033,068	
Ghana	23,967	20,435	25,865	23,738	17,269	19,100	27,135	40,300	66,752	89,456	70,799	81,017	
Gibraltar	1,255	946	997	1,400	1,149	1,077	1,600	1,721	1,295	1,554	1,769	3,442	
Greece	202,175	184,043	233,055	262,146	285,086	268,504	299,292	311,605	241,360	191,618	179,424	127,433	
Greenland	0	0	401	442	242	311	979	117	16	30	30	5	
Grenada	209	97	202	164	146	316	263	387	212	114	278	477	
Guatemala	56,556	73,237	90,868	116,178	103,970	78,750	72,237	85,381	45,698	68,184	122,874	133,038	
Guinea	17,689	17,921	18,463	17,500	13,874	12,962	11,219	14,588	10,065	12,750	10,511	12,842	
Guinea-Bissau	467	523	58	130	55	56	4,358	149	468	378	1,448	380	
Guyana	2,106	2,412	1,798	1,358	1,732	2,118	549	1,260	764	2,317	2,408	4,878	
Haiti	3,903	3,601	7,125	7,217	3,167	1,759	3,006	2,381	1,636	2,884	5,895	8,083	
Honduras	32,751	43,820	58,364	80,714	53,128	50,651	41,553	46,745	37,366	46,184	52,026	59,218	
Hungary	347,423	586,232	433,123	775,339	995,593	984,024	1,151,693	1,194,957	860,078	1,310,868	1,159,328	1,209,254	
Iceland	6,025	4,599	4,935	5,995	7,855	8,257	14,981	10,234	7,124	10,622	11,629	8,809	
India	1,203,892	1,445,874	2,140,224	2,301,879	2,856,302	3,182,718	4,955,381	6,997,951	7,164,001	9,923,839	12,363,011	11,057,065	
