List of importing markets for a product exported by Kenya Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
Greece	3,113	2,153	4,555	3,360	3,408	3,602	3,913	4,106	2,582	1,670	2,108	
Grenada	0	0	2	1	8	0	97	0	32	31	1	
Guatemala	20	14	7	101	42	0	0	47	2	60	272	
Guinea	106	208	1,287	1,174	434	417	688	1,540	145	595	504	
Guinea-Bissau	0	0	4	2	5	0	10	7	0	8	151	
Guyana	0	0	102	448	17	0	0	46	0	3	18	
Haiti	0	10	0	1	0	1	36	1,210	15	928	533	
Honduras	0	67	879	1,413	1,838	74	0	0	353	63	0	
Hong Kong, China	8,377	4,202	10,389	17,322	13,828	13,759	16,367	19,380	23,950	28,006	36,282	
Hungary	84	647	706	136	54	138	223	299	664	676	262	
Iceland	3	2	44	450	506	155	181	1	123	607	3	
India	29,108	34,503	35,635	51,063	53,108	52,218	86,725	98,193	66,479	106,933	107,517	
Indonesia	904	917	3,388	6,028	10,156	4,414	6,239	9,740	7,330	12,477	24,908	
Iran (Islamic Republic of)	5,266	132	999	1,587	4,639	6,493	3,651	7,302	4,906	10,830	22,133	
Iraq	0	0	87	8	0	0	1,203	12,584	8,371	7,576	9,217	
Ireland	6,395	3,318	24,446	8,084	7,956	11,553	12,004	11,890	12,428	13,418	11,623	
Israel	15,325	5,714	18,512	11,046	19,596	12,586	16,287	22,216	20,659	19,515	16,268	
Italy	14,117	17,555	24,518	30,916	30,504	28,010	38,370	43,354	31,548	41,056	75,737	
Jamaica	7	176	275	587	332	13	1	3	6	0	33	
Japan	16,827	8,951	18,178	21,222	24,962	17,479	19,343	33,948	28,829	26,374	24,882	
Jordan	1,353	906	1,684	460	1,667	1,672	2,995	2,177	2,978	2,057	2,244	
Kazakhstan	0	0	2,794	8,720	16,207	16,833	22,291	31,637	30,258	36,207	42,199	
Kiribati	0	0	0	16	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	74	18	76	35	1,494	1,156	1,489	90	87	0	9	
Korea, Republic of	470	573	884	725	3,112	5,666	4,726	3,045	3,387	2,228	5,680	
Kuwait	413	444	752	248	444	379	2,601	5,063	2,644	5,909	7,972	
Kyrgyzstan	0	0	0	282	6	118	0	0	70	230	281	
Lao People's Democratic Republic	0	0	81	105	29	8	0	0	0	0	0	
Latvia	0	0	189	823	559	13	72	119	19	174	314	
Lebanon	1,081	418	1,115	1,091	741	777	918	906	1,707	1,211	1,149	
Lesotho	3	19	0	5	1	165	771	19	214	11	174	
Liberia	12	60	404	911	1,785	2,043	837	582	492	140	310	
Libya	9	2	12	20	40	35	9,158	475	985	225	352	
Lithuania	0	0	0	1	0	0	3	1	21	198	81	
Luxembourg	40	28	0	21	447	447	14	102	70	1	2,033	
Macao, China	0	0	87	319	24	0	0	140	44	24	1	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	43	0	0	0	0	0	0	
Madagascar	258	7,293	6,747	3,504	5,480	7,235	9,321	6,154	9,128	4,322	7,742	
Malawi	4,414	3,745	10,850	14,309	19,193	26,573	31,391	58,246	40,698	53,802	66,369	
Malaysia	3,137	2,375	4,598	5,467	5,998	4,677	4,159	8,223	4,187	6,140	5,412	
Maldives	29	0	8	0	85	7	3	0	39	11	22	
Mali	466	67	1,312	2,285	406	842	1,039	679	1,139	267	443	
Malta	213	362	84	20	246	3,469	659	923	1,623	2,088	358	
Mauritania	63	1,129	67	221	199	156	182	258	377	178	249	
Mauritius	2,403	0	10,017	7,535	6,761	6,912	9,478	12,043	14,924	18,686	15,242	
Mayotte	0	0	2,262	1,281	4	243	0	0	0	0	0	
Mexico	2,991	285	2,620	415	844	1,280	2,631	1,715	33	745	733	
Micronesia (Federated States of)	0	0	0	0	0	0	0	88	0	0	0	
Mongolia	0	0	10	0	0	0	0	0	0	0	0	
Montserrat	0	0	0	2	0	0	11	0	0	0	0	
Morocco	261	460	1,237	865	1,304	1,465	2,105	1,745	2,128	1,405	3,495	
Mozambique	971	3,544	3,156	6,738	7,721	5,847	10,122	12,606	14,572	9,762	9,242	
Myanmar	179	10	0	0	0	0	0	0	0	0	448	
Namibia	22	10	294	241	122	157	463	1,543	995	1,779	315	
Nauru	0	0	6	5	261	516	601	708	620	19	0	
Nepal	0	1	73	120	8	10	15	76	46	2,802	1,182	
Netherland Antilles	0	0	358	149	0	0	0	0	0	0	0	
Netherlands	135,363	100,299	189,324	222,937	243,795	277,217	325,671	380,134	340,705	338,908	377,156	
New Caledonia	0	0	28	0	5	0	0	0	0	0	0	
New Zealand	630	575	643	860	1,672	1,376	1,057	2,171	1,756	1,512	1,029	
Nicaragua	2,548	22	14	17	24	0	14	1	14	9	0	
Niger	84	3	209	1,955	151	55	366	113	410	875	1,066	
Nigeria	8,296	4,933	15,514	15,278	21,975	29,686	24,373	45,937	24,137	20,106	20,545	
Niue	0	0	0	0	0	0	0	0	0	0	0	
Northern Mariana Islands	0	0	1	0	0	0	0	0	0	0	0	
Norway	2,286	1,621	4,276	3,194	4,638	4,884	3,781	7,488	11,851	14,509	13,246	
Oman	41	253	705	756	1,004	1,923	1,598	5,290	4,402	15,449	4,608	
Pakistan	112,547	33,922	130,894	144,424	186,159	201,680	201,040	202,327	196,311	227,920	241,427	
Palau	0	0	0	24	0	0	0	0	0	0	0	
Panama	48	0	2	153	943	19	12	14	181	41	285	
Papua New Guinea	0	10	73	348	61	3	1	0	2	0	57	
Paraguay	0	0	0	0	414	427	453	246	0	0	0	
