List of importing markets for a product exported by Ghana Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	1,716,127		2,324,296		3,059,743	3,613,994	3,533,792	3,809,919	5,070,533	5,233,390	18,400,572	18,761,239	
Afghanistan	662		168		0	0	0	0	0	59	104	1	
Albania	0		0		57	1	0	0	0	0	0	0	
Algeria	64		7		47	9	0	23	153	49	84	0	
Andorra	0		0		0	0	0	107	0	0	0	0	
Angola	175		820		609	379	1,414	482	458	3,621	3,022	4,177	
Anguilla	0		0		0	0	0	0	0	0	0	0	
Antigua and Barbuda	20		2,756		298	0	1	4	0	32	61,247	88,821	
Area Nes	1,097		8,382		1,792	43,738	0	0	0	0	0	0	
Argentina	0		7		14	0	6	97	18	0	66	4	
Armenia	0		0		129	0	0	0	0	0	20	0	
Aruba	0		0		42	0	0	0	0	0	0	0	
Australia	1,364		2,315		4,877	47,225	8,401	7,693	1,816	4,417	4,571	5,647	
Austria	289		107		79	85	65	48	35	21	87	552	
Azerbaijan	0		0		4,654	0	0	0	2	0	13	0	
Bahamas	382		1,398		2,984	55	3	0	157	0	22	23	
Bahrain	0		543		80	0	0	12	0	0	2	10	
Bangladesh	12,833		1,054		29	42	472	178	152	109	38	646	
Barbados	0		12		46	0	25	0	0	0	1	0	
Belarus	507		0		0	0	0	0	4,648	1,521	348	548	
Belgium	29,337		113,868		212,718	144,931	61,889	43,339	48,366	110,117	403,365	130,662	
Belize	0		0		0	0	38	0	0	0	0	0	
Benin	17,312		42,386		3,211	2,918	4,529	5,366	125,421	37,608	87,336	85,477	
Bermuda	0		16		953	0	0	41	211	0	6	0	
Bhutan	0		3		0	0	15	0	0	0	0	0	
Bolivia	23		0		0	0	5	0	0	15	20	0	
Bosnia and Herzegovina	0		0		0	1	0	0	0	0	29	0	
Botswana	35		32		7	29	20	55	3	8	17	22	
Brazil	214		2		550	1,174	1,860	8,845	6,011	635	29,110	29,741	
British Indian Ocean Territories	0		81		71	0	0	0	0	0	0	82	
British Virgin Islands	0		0		15	0	0	53	0	0	730	0	
Brunei Darussalam	0		0		0	0	0	24	1	0	8	0	
Bulgaria	126		0		408	207	71	1,209	979	2,563	111	106	
Burkina Faso	2,467		2,434		802	456,019	163,055	81,749	207,619	72,872	500,570	369,533	
Burundi	0		7		1	14	2	0	51	0	6	6	
Cabo Verde	0		566		0	0	729	1,637	1,668	941	741	255	
Cambodia	178		0		0	0	31	0	0	0	0	0	
Cameroon	287		1,349		5,580	2,450	1,475	2,742	2,322	1,864	5,392	13,956	
Canada	4,897		3,866		20,934	27,575	13,583	2,983	20,020	2,010	136,524	110,771	
Cayman Islands	0		0		0	214	0	0	0	0	0	0	
Central African Republic	0		5		2	0	61	174	78	0	52	77	
Chad	0		0		1	59	154	24	19,729	1,550	823	165	
Chile	0		0		3	6	1	161	0	0	5	0	
China	24,691		32,281		41,720	38,805	32,695	71,599	46,019	51,253	257,853	628,052	
Cocos (Keeling) Islands	0		0		0	0	0	0	0	0	0	0	
Colombia	0		820		190	59	6	17	0	0	68	58	
Comoros	0		0		0	0	0	0	0	0	0	0	
Congo	105		423		59	1,788	1,946	5,311	1,524	918	2,726	1,698	
Cook Islands	0		0		0	0	0	0	210	0	0	0	
Costa Rica	0		0		20	3	0	0	0	0	0	0	
Côte d'Ivoire	15,265		18,949		14,655	9,977	26,025	28,852	62,743	26,546	717,410	81,799	
Croatia	0		0		4,692	2,402	2,085	1,493	935	1,021	1,300	119	
Cuba	19		3		4	22	43	76	44	45	15	44	
Cyprus	82,879		52		805	98	85	40	145	2,070	142	94	
Czech Republic	177		28		334	93	47	240	6	132	55	196	
Democratic Republic of the Congo	34		10		5	0	532	63	82	383	2,644	639	
Denmark	3,503		8,884		51,439	7,171	21,645	18,718	10,658	5,905	13,257	16,312	
Djibouti	0		0		0	78	124	203	109	76	171	96	
Dominica	144		0		0	0	0	0	0	0	17	3	
Dominican Republic	0		0		0	0	161	22	26	123	192	4	
Ecuador	76		9		0	23	0	33	19	0	4	2	
Egypt	300		2,478		4,949	4,251	8,519	7,366	7,410	5,680	7,760	5,255	
El Salvador	0		0		3	0	0	0	0	0	0	8	
Equatorial Guinea	57		38		43	123	181	340	540	1,739	4,903	11,834	
Estonia	0		0		23,907	68,755	40,109	50,266	35,329	79,007	121,951	81,040	
Ethiopia	53		26		36	16	38	27	273	5	252	498	
Falkland Islands (Malvinas)	0		0		0	0	0	0	0	0	0	351	
Fiji	0		14		0	2	0	0	0	0	0	0	
Finland	727		386		2,391	665	2,637	989	552	2,718	977	309	
France	63,148		109,733		150,549	164,719	119,513	91,176	68,633	64,954	1,722,429	1,412,382	
Free Zones	0		204		0	0	0	0	0	0	0	0	
French Polynesia	0		0		0	0	0	0	0	0	22	0	
French South Antarctic Territories	0		71		0	0	0	0	0	0	0	0	
Gabon	45		275		1,178	1,788	2,147	4,106	8,387	7,697	3,178	5,032	
Gambia	957		863		1,036	845	1,534	1,493	2,245	6,163	5,523	3,193	
Georgia	0		0		0	1	2,198	29	211	5,032	5,994	3	
Germany	71,418		113,338		74,006	96,352	77,114	56,565	57,453	67,427	169,728	198,000	
Gibraltar	0		0		0	0	0	0	0	0	0	6,673	
Greece	2,234		2,509		9,792	11,381	10,171	8,725	5,582	5,986	5,224	19,071	
Greenland	0		0		0	0	0	0	0	0	0	0	
Grenada	0		53		0	0	0	0	0	0	0	0	
Guatemala	0		0		1	0	0	0	0	0	0	34	
Guinea	154		361		907	968	3,200	4,002	5,134	4,614	17,554	9,539	
Guinea-Bissau	0		40		90	113	34	8,226	793	107	66	304	
Guyana	0		0		1	0	0	0	0	0	0	0	
Haiti	0		0		1	0	0	13	15	20	2	0	
Honduras	9		316		207	0	0	0	0	0	0	0	
Hong Kong, China	3,114		921		2,672	2,081	4,695	4,206	937	516	2,543	3,492	
Hungary	0		27		1	0	117	17	24	0	101	22	
Iceland	0		0		1	0	0	70	0	0	836	0	
India	8,716		12,277		41,549	58,850	78,364	202,959	59,230	48,550	722,194	1,876,651	
Indonesia	3,271		1,867		2,948	9,879	3,084	2,893	19,627	5,001	12,956	11,917	
Iran (Islamic Republic of)	0		7		40	843	781	11,665	4,697	8,399	13,899	5,322	
Iraq	0		8		10	0	0	4	0	0	18	1	
Ireland	12,688		5,638		13,644	12,473	12,353	13,328	16,711	14,718	7,321	10,678	
Israel	9,745		610		5,945	3,649	5,969	4,206	1,960	1,570	8,178	3,226	
Italy	83,255		110,742		66,703	90,744	43,907	62,702	49,466	38,566	1,041,492	1,229,342	
Jamaica	10		197		39	5	6	3	11	0	5	11	
Japan	33,552		58,347		51,525	72,791	77,423	19,583	97,180	41,441	65,849	90,826	
Jordan	0		62		186	75	202	156	198	114	42	152	
Kazakhstan	0		0		2	2	0	853	0	0	3	194	
Kenya	23		219		351	180	518	157	187	71	4,674	17,318	
Kiribati	0		0		0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	4		66		1	0	0	0	0	0	8	20	
Korea, Republic of	2,139		2,048		4,485	9,067	9,254	2,887	3,480	8,570	13,942	11,553	
Kuwait	17		29		11	43	56	9	18	0	4	465	
Kyrgyzstan	0		0		0	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0		0		0	0	0	0	0	0	0	0	
Latvia	0		0		0	0	0	992	487	594	102	1,444	
Lebanon	2,709		2,778		4,309	2,792	5,386	6,734	3,355	3,736	7,151	15,801	
Lesotho	0		0		0	0	0	0	0	0	0	121	
Liberia	1,778		529		2,423	1,396	1,411	1,468	22,950	2,694	140,838	12,093	
Libya	56		15		84	131	231	384	39	175	29	43	
Lithuania	0		0		200	123	114	109	21	168	362	206	
Luxembourg	941		123		286	0	22	0	0	0	147	0	
Macao, China	0		0		0	0	0	0	0	0	0	0	
Madagascar	3		49		10	0	0	10	0	7	4	0	
Malawi	3		27		2	5	0	4	23	0	33	46	
Malaysia	2,781		4,581		47,412	94,732	121,806	120,482	71,692	30,891	139,607	272,738	
Maldives	163		0		0	0	0	0	0	0	0	0	
Mali	784		74		24	1,235	2,566	5,591	9,885	126,729	21,566	58,366	
Malta	496		272		299	51	175	342	58	0	101	364	
Marshall Islands	0		0		25	0	0	0	0	0	0	0	
Mauritania	94		32		76	581	1,281	711	84	129	3,712	773	
Mauritius	0		0		181	0	31	256	23	7	3	844	
Mexico	0		146		617	204	80	2	237	866	23	3	
Mongolia	0		0		0	0	0	0	0	0	0	0	
Montserrat	0		0		0	0	0	0	0	0	0	0	
Morocco	1,223		848		1,096	446	1,401	415	982	287	1,039	1,366	
Mozambique	2		15		7	13	0	696	89	42	937	69	
Myanmar	0		0		0	0	0	4	0	0	9	0	
Namibia	20		25		1,435	46	583	157	0	15	26	430	
Nauru	0		0		0	0	0	0	0	0	11	0	
Nepal	0		97		0	0	1	8	13	0	2	11	
Netherland Antilles	0		129		933	3,054	327	84	16	363	328	24	
Netherlands	95,963		274,122		344,987	402,571	425,743	447,490	439,023	291,810	710,713	760,531	
New Caledonia	0		0		1	0	0	0	0	0	0	0	
