List of importing markets for a product exported by Suriname Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
Sierra Leone	0			0	0	0	31		3	3,757	0	
Singapore	7			95	180	116	114		399	1,640	3,700	
Slovakia	0			0	0	0	0		0	1	5	
Slovenia	0			0	0	0	0		0	2,424	1	
South Africa	58			283	64	0	64		159	117	138	
Spain	1,091			79	288	0	13,046		932	932	3,719	
Sri Lanka	0			0	0	65	13		1	0	0	
Sudan (North + South)	16			0	0	0	0		0	5	0	
Suriname	0			0	0	0	0		0	0	0	
Sweden	0			5	721	25	616		530	1,331	842	
Switzerland	48			266	3,150	30,423	138,507		156,458	179,043	231,103	
Syrian Arab Republic	0			0	0	0	0		2	0	0	
Taipei, Chinese	107			41	131	36	81		1,154	1,635	1,114	
Tanzania, United Republic of	0			0	2	0	0		0	198	0	
Thailand	27			0	56	461	27		48	91	52	
Trinidad and Tobago	1,983			6,766	11,051	25,936	19,564		61,531	45,471	58,633	
Tunisia	0			0	0	0	0		0	0	0	
Turkey	5			33	86	70	36		10	35	88	
Uganda	0			109	0	0	0		0	0	1	
Ukraine	0			21	2	0	0		3,002	0	0	
United Arab Emirates	39			63,373	53,372	23,431	986		110,378	278,345	642,952	
United Kingdom	1,131			779	1,255	298	228		810	952	518	
United States of America	11,600			13,058	9,022	10,697	7,774		96,792	153,632	276,150	
Uruguay	0			57	12	0	0		0	0	25	
Vanuatu	0			0	0	0	0		0	0	0	
Venezuela	413			10	63	69	200		871	85	3,087	
Viet Nam	0			34	68	23	30		863	59	1,040	
Zambia	0			0	0	0	0		0	0	0	
Zimbabwe	0			0	0	0	17		0	0	0	
