List of importing markets for a product exported by Sri Lanka Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
French Polynesia	18	26	22	60	6	2	142	0	0	12	11	10	
French South Antarctic Territories	0	0	0	7	0	0	4	0	12	1	3	0	
Gabon	59	72	0	0	1	41	0	72	53	166	84	106	
Gambia	248	268	401	451	715	529	879	1,057	1,163	1,752	1,733	1,914	
Georgia	380	267	668	876	545	585	1,115	1,802	1,404	1,857	1,738	1,363	
Germany	198,460	199,161	229,033	271,078	270,533	328,462	438,048	405,676	347,963	400,570	508,341	459,362	
Ghana	144	303	965	1,692	2,271	2,479	2,994	5,448	6,091	7,084	13,717	11,671	
Gibraltar	3	32	0	60	0	27	50	0	75	314	0	0	
Greece	7,219	7,082	7,790	8,120	8,184	8,071	12,030	15,033	12,680	14,447	15,576	7,727	
Greenland	9	0	0	26	18	3	9	18	0	0	4	2	
Grenada	0	0	3	0	29	0	2	0	0	6	0	0	
Guatemala	2,066	2,202	1,945	1,308	2,349	2,446	2,114	2,740	2,723	3,647	4,724	4,497	
Guinea	783	1,405	1,779	618	693	815	1,435	1,919	2,005	2,779	2,921	2,178	
Guinea-Bissau	28	9	34	0	42	0	40	0	33	0	72	199	
Guyana	76	0	16	74	14	132	48	117	104	362	367	269	
Haiti	0	0	158	18	9	155	73	165	64	111	166	397	
Honduras	424	594	619	888	394	835	909	700	1,165	1,219	1,507	1,524	
Hong Kong, China	52,652	56,730	74,865	65,449	60,106	71,579	83,307	143,595	96,812	116,872	108,884	112,521	
Hungary	1,638	764	1,128	1,557	2,247	2,350	2,318	3,336	5,400	3,202	5,247	5,449	
Iceland	323	21	244	291	149	908	443	344	145	482	788	519	
India	71,977	170,451	241,155	384,530	558,819	489,039	515,830	417,947	325,022	467,182	521,264	598,629	
Indonesia	5,455	8,401	7,757	7,520	23,487	47,248	48,360	39,743	45,321	92,347	118,012	117,567	
Iran (Islamic Republic of)	29,446	35,022	35,207	57,749	74,087	83,312	117,082	154,506	145,701	151,723	180,264	197,366	
Iraq	19,061	22,709	8,723	10,817	20,233	24,303	26,438	42,474	37,439	52,065	85,578	87,169	
Ireland	15,115	14,437	14,591	17,186	18,976	21,328	27,009	24,553	20,930	24,982	30,890	26,598	
Israel	55,300	39,394	43,682	28,894	41,673	39,327	44,227	66,048	35,355	46,878	56,927	74,636	
Italy	61,097	71,885	116,139	153,028	198,384	257,713	391,789	444,912	437,557	463,124	609,584	516,610	
Jamaica	468	1,112	590	717	1,185	1,072	754	1,064	2,432	1,606	1,700	1,592	
Japan	185,757	140,219	158,526	154,310	142,422	162,633	161,529	162,150	140,639	169,301	223,492	218,341	
Jordan	22,043	23,160	28,976	31,266	27,354	26,390	21,238	52,148	54,109	69,826	40,045	44,172	
Kazakhstan	2,093	2,264	2,136	2,451	2,624	3,286	4,611	3,910	3,925	6,387	5,242	5,575	
Kenya	1,563	2,586	3,166	4,965	4,372	4,326	4,401	5,221	3,482	5,729	9,704	8,964	
Kiribati	11	13	0	0	3	0	22	31	11	20	19	31	
Korea, Democratic People's Republic of	16	37	28	0	3	55	62	99	40	3,928	982	1,371	
Korea, Republic of	28,235	33,172	27,090	18,379	22,863	25,466	28,708	34,720	33,687	30,132	45,026	45,581	
Kuwait	9,096	9,678	9,967	10,021	12,220	12,754	13,434	29,880	36,770	44,935	42,234	38,184	
Kyrgyzstan	1,163	1,143	1,440	1,575	1,238	578	1,439	3,054	1,350	2,914	4,989	4,381	
Lao People's Democratic Republic	0	0	129	0	112	16	37	0	0	8	96	86	
Latvia	1,263	1,407	1,293	1,314	933	1,339	1,337	1,743	3,547	4,811	7,375	7,948	
Lebanon	7,648	5,575	6,850	6,217	5,920	6,029	10,389	11,081	12,798	13,073	16,163	15,438	
Lesotho	0	0	7	0	0	0	1	0	5	0	5	196	
Liberia	452	1,290	738	137	100	176	168	295	567	527	717	458	
Libya	37,020	10,152	34,012	2,856	21,167	11,310	22,965	21,447	24,537	35,143	23,467	67,902	
Lithuania	2,368	2,764	2,469	2,524	2,876	3,321	3,532	3,554	3,761	4,437	5,413	7,675	
Luxembourg	108	32	11	2	87	194	21	171	0	330	27	14	
Macao, China	432	396	735	869	824	512	668	1,496	559	603	689	486	
Macedonia, The Former Yugoslav Republic of	0	0	0	466	514	682	806	1,130	776	744	1,292	841	
Madagascar	1,566	1,877	5,170	2,835	2,788	1,058	391	499	905	368	221	174	
Malawi	34	30	24	36	18	17	219	313	97	87	168	241	
Malaysia	6,712	8,670	11,349	8,534	12,603	24,633	36,800	45,981	48,157	72,704	96,325	69,584	
Maldives	50,445	45,877	54,396	60,011	24,739	29,339	50,887	47,703	33,621	38,503	55,204	60,614	
Mali	29	241	335	146	231	223	620	145	237	323	498	458	
Malta	199	327	182	177	299	152	479	1,354	1,216	1,394	575	1,160	
Marshall Islands	0	0	0	0	0	8	0	12	0	32	0	52	
Mauritania	102	170	199	267	253	237	287	455	498	375	1,230	1,106	
Mauritius	1,400	1,723	3,168	3,629	2,407	1,933	1,768	1,548	1,656	2,387	3,794	1,905	
Mexico	30,599	38,237	37,654	37,990	46,173	46,815	62,716	64,586	58,842	61,066	97,818	103,556	
Micronesia (Federated States of)	130	0	0	0	0	0	32	6	0	0	0	0	
Mongolia	47	63	149	388	456	550	1,309	1,692	1,381	1,064	2,109	1,248	
Montenegro	0	0	0	0	0	0	0	0	494	45	0	0	
Montserrat	0	0	31	0	31	0	0	6	0	41	1	1	
Morocco	974	626	892	1,434	1,355	1,745	2,183	2,912	2,005	3,453	4,225	1,714	
Mozambique	4	18	21	24	21	84	16	192	102	192	356	283	
Myanmar	593	274	238	210	103	114	511	188	19	166	176	607	
Namibia	0	0	4	13	350	6	11	5	49	15	112	32	
Nauru	25	12	51	0	0	0	0	2	16	4	0	2	
Nepal	335	882	1,659	275	295	3,564	183	187	271	689	642	1,148	
Netherland Antilles	88	53	2	47	29	87	21	16	90	0	154	50	
Netherlands	86,462	77,475	87,359	103,788	98,835	121,360	150,989	157,284	156,383	184,946	197,550	165,731	
New Caledonia	16	4	6	14	26	24	18	65	48	85	92	136	
New Zealand	5,744	5,964	7,875	8,101	10,009	12,481	12,577	15,134	14,204	17,567	22,433	22,309	
Nicaragua	398	435	376	245	358	752	518	688	693	670	1,597	1,312	
Niger	2	0	0	0	52	208	276	257	444	432	627	854	
Nigeria	1,552	1,860	891	791	4,120	1,235	3,064	3,149	2,131	2,666	4,236	4,892	
Niue	0	0	10	0	3	3	9	0	0	0	0	0	
Norfolk Island	0	0	0	0	0	8	0	0	0	0	0	4	
Northern Mariana Islands	0	0	0	0	0	0	0	0	0	54	14	0	
Norway	7,049	6,455	6,555	7,130	8,515	12,006	16,443	18,836	13,291	15,938	21,458	19,642	
Oman	4,634	4,933	2,985	2,535	6,358	4,194	4,101	7,649	6,651	9,299	9,768	9,527	
Pakistan	24,868	28,822	36,136	39,125	43,022	58,296	55,404	71,351	55,483	60,453	75,231	87,158	
Palau	1	0	3	25	0	0	0	0	5	0	0	3	
Palestine, State of	299	130	0	223	171	403	121	276	18	20	0	0	
Panama	2,920	2,760	1,418	2,313	4,228	3,082	6,039	5,591	4,987	4,825	6,547	7,701	
Papua New Guinea	596	307	213	202	375	502	834	1,033	1,159	614	1,011	789	
Paraguay	101	247	136	173	118	168	180	301	105	21	490	51	
Peru	3,732	2,662	5,107	2,365	4,532	4,989	4,821	6,892	6,844	7,459	7,744	13,451	
Philippines	4,374	6,274	5,866	2,711	3,213	6,125	4,608	3,457	20,617	12,329	9,373	8,315	
Pitcairn	0	0	0	0	0	0	3	22	0	0	0	2	
Poland	11,982	9,273	12,635	18,004	19,870	26,925	33,989	38,081	30,638	27,634	43,805	39,489	
Portugal	5,949	4,217	5,458	6,318	5,236	4,134	5,676	5,389	4,666	4,017	7,310	4,698	
Qatar	884	991	1,055	1,899	2,941	4,386	3,948	5,878	5,671	8,247	10,861	7,909	
Republic of Moldova	744	629	763	878	1,057	971	1,726	2,169	2,109	2,450	2,500	2,876	
Romania	145	331	447	668	832	3,566	3,921	8,752	5,567	3,855	4,730	6,000	
Russian Federation	115,596	126,481	140,829	150,163	157,416	188,009	201,965	220,694	192,505	242,995	281,231	262,277	
Rwanda	52	2	22	32	194	46	393	314	764	445	128	624	
Saint Helena	0	0	0	1	0	0	0	0	0	31	41	36	
Saint Kitts and Nevis	10	10	2	117	22	3	18	7	6	5	228	0	
Saint Lucia	15	48	66	129	38	47	71	15	39	113	57	18	
Saint Vincent and the Grenadines	6	43	10	5	11	67	0	11	6	13	11	0	
Samoa	39	82	90	30	81	30	7	17	31	110	0	3	
Sao Tome and Principe	0	0	0	0	0	0	0	0	0	0	128	24	
