List of importing markets for a product exported by Pakistan Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Falkland Islands (Malvinas)	879	139	141	235	58	2	0	0	4	0	0	
Faroe Islands	82	0	10	74	0	71	0	0	0	5	1	
Fiji	1,142	1,199	921	538	989	2,423	1,265	2,616	2,247	2,431	2,120	
Finland	21,412	24,530	39,483	41,934	51,026	55,193	35,599	51,840	71,630	71,227	75,315	
France	315,137	378,755	363,253	348,968	362,418	367,651	314,033	357,602	405,028	331,512	405,320	
French Polynesia	0	26	9	0	528	65	96	74	69	124	77	
French South Antarctic Territories	0	0	0	0	21	0	0	0	0	0	0	
Gabon	208	444	137	440	253	708	977	1,621	1,675	2,277	2,929	
Gambia	2,553	5,393	8,347	3,795	3,779	20,650	9,469	10,970	9,867	12,555	16,802	
Georgia	145	881	541	908	2,165	2,567	1,803	4,200	6,518	7,339	7,139	
Germany	608,147	665,096	724,412	697,539	725,954	879,997	719,250	981,216	1,312,204	988,518	1,080,984	
Ghana	5,072	3,871	27,018	7,683	9,712	17,764	7,756	13,283	26,537	18,857	10,237	
Gibraltar	122	341	139	557	153	38	0	27	1	13	6	
Greece	76,035	98,968	93,726	85,091	96,418	94,848	69,240	62,488	57,685	49,484	59,952	
Greenland	181	13	218	210	2	19	0	11	0	0	2	
Grenada	0	16	311	225	163	593	473	313	444	325	183	
Guatemala	3,554	7,459	10,212	18,014	9,056	19,270	22,441	21,615	17,806	11,667	8,725	
Guinea	310	9,041	11,667	29,062	14,043	36,646	30,952	43,643	46,207	18,218	35,667	
Guinea-Bissau	372	3,029	6,659	757	487	4,915	1,628	14,206	9,285	9,759	4,863	
Guyana	574	611	852	575	454	980	367	524	858	460	589	
Haiti	4,142	3,774	2,538	4,758	3,310	3,137	3,874	10,652	4,286	1,462	3,700	
Honduras	8,320	10,607	10,072	12,220	10,816	15,147	9,066	14,699	3,984	4,842	2,755	
Hong Kong, China	546,811	589,937	598,917	678,725	608,054	461,183	355,256	495,233	420,726	416,221	408,462	
Hungary	18,385	17,799	18,160	29,476	20,567	19,084	13,862	14,486	15,457	13,420	11,529	
Iceland	731	740	984	879	474	269	252	262	271	271	176	
India	83,546	158,498	337,218	326,704	291,696	354,637	235,323	274,983	272,864	347,994	402,747	
Indonesia	47,395	57,219	68,167	61,929	66,458	63,048	67,073	73,853	188,527	236,323	144,380	
Iran (Islamic Republic of)	82,122	102,779	178,425	178,782	146,236	426,150	252,160	182,188	153,272	141,954	62,635	
Iraq	3,609	4,411	17,521	38,456	40,037	31,952	89,745	128,026	61,110	42,197	26,164	
Ireland	26,538	34,269	41,378	40,886	37,638	43,651	45,663	44,755	47,157	52,820	47,999	
Italy	401,922	532,517	582,502	621,631	682,608	702,325	555,437	642,244	777,468	521,398	641,873	
Jamaica	763	567	729	3,299	1,487	7,587	1,271	1,536	1,481	1,769	1,635	
Japan	139,142	160,621	143,352	133,840	124,397	155,653	98,323	123,382	206,430	191,281	184,316	
Jordan	24,591	21,195	25,625	23,472	24,991	27,620	31,750	36,061	37,813	51,623	58,873	
Kazakhstan	10,037	8,747	9,968	8,517	6,287	6,061	4,217	5,921	5,770	4,240	5,416	
Kenya	85,482	59,582	66,448	75,029	96,920	118,402	150,851	129,193	267,176	209,877	258,381	
Kiribati	2	0	0	10	6	0	0	7	0	0	0	
Korea, Democratic People's Republic of	1,415	6,405	4,325	1,075	645	1,277	467	63	55	58	87	
Korea, Republic of	206,023	182,393	200,112	177,477	182,045	207,706	237,909	279,378	401,848	332,446	397,266	
Kuwait	76,916	75,920	77,447	76,037	94,862	132,715	87,094	93,194	90,619	82,641	96,202	
Kyrgyzstan	2,776	5,325	2,085	1,029	1,225	1,406	1,181	1,245	922	780	771	
Lao People's Democratic Republic	73	125	45	184	232	97	171	80	253	470	764	
Latvia	3,340	1,427	2,755	3,720	7,668	6,215	3,898	7,355	10,709	16,290	21,294	
Lebanon	10,643	14,859	21,314	12,362	13,302	19,374	16,827	16,943	17,071	19,467	31,174	
Lesotho	245	528	5,834	4,419	2,992	3,124	2,139	5,750	4,618	7,579	10,391	
Liberia	1,480	5,437	1,895	638	296	1,335	4,384	2,625	12,734	6,234	2,614	
Libya	2,668	2,410	3,411	4,383	5,324	5,379	10,603	8,000	2,782	14,784	13,001	
Lithuania	6,247	19,090	18,464	27,209	29,854	41,713	18,706	32,955	34,903	39,705	51,854	
Luxembourg	572	1,259	711	1,604	107	103	197	18,154	134	203	195	
Macao, China	582	396	443	289	228	196	35	63	103	161	115	
Macedonia, The Former Yugoslav Republic of	0	42	0	0	0	0	0	0	0	0	11	
